#project	name	why it is not a verb
#
# THE OPT-OUT for lib/verb-set.sh and bin/cut-verb-build.sh. Read by both and
# by nothing else. Every row is a WRITTEN JUDGEMENT that an executable on a
# `bashified` branch was never meant to be a verb, despite qualifying.
#
# THE RULE IT EXEMPTS FROM, SINCE #891
#   a project declares a verb  <=>  its `bashified` branch carries an
#   executable `bin/<name>`. A `man/<name>.1` beside it is carried when present
#   and is never a precondition (lib/verb-set.sh) -- though cut-verb-build.sh
#   still REFUSES a page with no executable beside it. An executable with no
#   page is a verb, and this file is the ONLY way to keep one off PATH.
#
# THE TEST, Zach:
#
#     "would another agent or Zach ever call one of those?"
#
# A verb is a FRONT DOOR -- a name a person or another project TYPES. The
# mechanical rule asks only whether `bin/<name>` exists. An executable that
# qualifies and is nobody's door gets a row stating the evidence it was judged
# on. A genuine door with no page yet does NOT: ship it pageless or write the
# page, because a row here buries it permanently.
#
# STALENESS IS VISIBLE IN THE ARTIFACT, not enforced here. Every row that
# ACTUALLY applies is written into the build manifest as a `# NOT-A-VERB` line,
# so a row that never appears in any manifest is a row about a file that is no
# longer there. Remove it when that happens: an exemption outliving its reason
# is how a temporary judgement becomes a permanent blind spot.
#
scheduler	verdict.sh	the verdict reader/writer behind `dose verdict`, carried by hf7y/scheduler#123. Its callers are the dispatcher and a project's own brief, never a person at a prompt -- and its whole contract is an exit code (0 DONE / 1 NOT-DONE / 3 GAVE-UP) consumed by a script, which is the shape of an internal rather than a door.
scheduler	usage-paced-runner.sh	the dispatcher itself, carried by hf7y/scheduler#123. It is invoked by a cron tick, not by a human: `dose` is the door, this is the engine behind it. NOT a containment claim -- the build installs it 0775 at verb-builds/current/scheduler/bin/ on every account, so absence from PATH saves typing and prevents nothing. What bounds it is uid 0 for host mode (usage-paced-runner.sh:107-109), the usage gate, the flock, and PACED_MAX_PER_TICK.
scheduler	tempo.sh	the pace regulator behind the dispatcher, not a door: its only caller is bin/usage-paced-runner.sh ("bin/tempo.sh decides how many of those asks become dispatches"), and `dose` names no `tempo` subcommand. Same shape as usage-paced-runner.sh above -- it travels on bashified so the dispatch path needs no scheduler checkout, not to be on PATH. Its header calls it "the thermostat's setpoint" (hf7y/scheduler#147); the knob a human actually edits is TEMPO_BASE_MIN, never this filename.
scheduler	route-deliveries.sh	invoked by bin/scheduler-run:48 immediately before a dispatch, never typed; it routes a project's own deliveries and takes a --apply it is always given. A front door would be something a person runs on purpose, and nobody runs this except the runner
scheduler	scheduler-run	the batch dispatcher bin/usage-paced-runner.sh execs per rotation row, carried by hf7y/scheduler#433 so the dispatch path needs no clone. Its own header calls it HAND-RUN, and that is true and still not a verb: the hand-run it documents is `sudo -n -u <p> bash -lc 'cd ~/Documents/Projects/scheduler && bin/scheduler-run <p> batch'` -- invoked BY PATH out of a tree, never as a bare name expecting the verb contract. `dose <project>` is scheduler's door; this is the engine behind it, exactly as usage-paced-runner.sh above. It also takes no --help and its arguments are <project> <sweep|batch>, a rotation row's two fields.
scheduler	schedule-clean-check.sh	the committed-config gate bin/usage-paced-runner.sh calls on its DISPATCH HOT PATH, extracted from the retired sync-crontab.sh by hf7y/scheduler#471. Its own header says why it is a subprocess and not a sourced lib -- "a syntax error in a sourced file fails ALL dispatch, a subprocess failure fails one call" -- which is a contract between two scripts, not a door. Its whole output is an exit code a dispatcher branches on (0 clean / 2 dirty-or-unverifiable), the shape every scheduler row above shares. It travels on bashified for the same reason freeze-check.sh does: to sit BESIDE bin/dose so the dispatch path needs no scheduler checkout, not to reach PATH.
scheduler	collect-feedback.sh	a text filter, not a door: lib/sweep-loop-common.sh:718 runs it over $HOME/reports/<project>/LATEST.md and splices the `%TAG` lines it finds into the run's prompt. Its own header states the contract a CALLER reads -- "exit 1 with NO output if the file has none ... a caller should read non-zero as 'nothing to say', not as an error" -- which is a convention between two scripts, not one a person types at. Carried with scheduler-run because its call site is `2>/dev/null || true`: absent, the human's inline feedback is dropped with no line in any log.
scheduler	usage-gate.sh	the pacing sensor+decision bin/usage-paced-runner.sh execs as `$USAGE_GATE` on its dispatch hot path (host mode default: beside it at `$SELF_DIR/usage-gate.sh`), never typed by a human -- `dose` is the door, this is the gate the engine behind it consults. Same shape as tempo.sh and schedule-clean-check.sh above: undeclared here, it was silently absent from every cut build (verb-builds/current/scheduler/bin/ carries only the ten rows this file already names for scheduler), so host mode's `usage-paced-runner --check` HOLDs at gate rc=127 for want of a file that exists on `bashified` the whole time (hf7y/scheduler#350's gen-2 witness, measured 2026-09-07). It travels on bashified for the same reason its callers do: to sit BESIDE bin/usage-paced-runner.sh so the dispatch path needs no scheduler checkout, not to reach PATH.
senechal	selfdev-runner-provision.sh	a root crontab entry on monkey, alongside ausculte --cadence and selfdev-release-tick; it provisions CI runners for private repos and needs privileges no agent has. Zach types the account name, not this
senechal	test-selfdev-runner-provision.sh	the witness for the row above. A test is never a verb; giving it a man page would declare a name whose only caller is a suite
realisateur	monkey-watch.sh	the cron wrapper publishing hf7y.com/monkey from dexter, on bashified since #834 so it runs from the pin, not a `git pull` of main. Nobody types it: its callers are one crontab row and its own --install-cadence (bin/lib/cron-invoked.tsv), and a man page would put a VM-host-only script on PATH
realisateur	monkey-status-collect.py	the collector monkey-watch.sh FEEDS to monkey over stdin (`sudo -n python3 -`), never invoked by name and deliberately never installed on the guest, so the version that runs is the one in the build. Beside monkey-watch.sh as scheduler's dose-project.sh is beside bin/dose
senechal	monkey-watch.sh	received from realisateur by hf7y/senechal#441 (merged) -- same script, same non-verb reasoning as the realisateur row above. #441 moved the file; nothing moved this row with it, so senechal's bashified declared an UNDECLARED verb-kind-lint violation on every build since it landed
senechal	monkey-status-collect.py	received alongside monkey-watch.sh by hf7y/senechal#441 -- same reasoning as the realisateur row above, now under the project that actually carries the file
realisateur	atteste	the daily attestation gate, run by .github/workflows/atteste.yml and nothing else -- REPORTING-ONLY, red on GAP. Its --body mode reads like a door but its whole output is a grade a workflow consumes, and Zach called it not-a-verb on 2026-09-02 (#920). A man page would put a GitHub-API-reading gate on every account PATH
realisateur	selfdev-gh-app	#1055 reverted #1048's declaration ("#171's reclassification is not decided"); the carry job already copied bin/selfdev-gh-app onto bashified before the revert landed, so this row keeps the stray file's leftover misclassification from blocking every PR until #realisateur retires it below and the next carry drops it
